url,title,tag,time,short_text,long_text
"https://www.reuters.com/article/idUSE8N1CN006","BRIEF-Bankia will close 80 branches in Spain in 2016","","December 15, 2016 /  12:34 PM / 7 months ago","","Dec 15 (Reuters) - CEO of Spain's Bankia Jose Sevilla : * Says will close this year 80 branches in Spain * After Spain injected more than 22 billion euros ($22.93 billion) in public money to save Bankia from collapse in 2012, the bank underwent broad cost-cutting measures  Further company coverage:   ($1 = 0.9593 euros)   (Reporting By Madrid Newsroom)"
"https://www.reuters.com/article/lloyds-jobs-idUSL5N1HD2JE","Lloyds to close 100 branches, over 200 jobs eliminated - union","","April 5, 2017 /  10:26 AM / 4 months ago","","LONDON, April 5 (Reuters) - Lloyds Banking Group plans to close a further 100 branches resulting in the loss of over 200 jobs, according to the Unite trade union. The union said in a statement on Wednesday Britain's biggest mortgage lender plans to close 54 Lloyds branches, 22 Halifax branches and 24 Bank of Scotland branches. The continuous stream of branch closures announced by the UK's retail bank branches appears to show no signs of ending, said Rob MacGregor, Unite national officer. A spokesman for Lloyds was not immediately available to comment. (Reporting By Andrew MacAskill, Editing by Lawrence White)"
"https://www.reuters.com/article/clydesdale-jobs-idUSL5N1F85R5","Clydesdale Bank to close a third of its branches, cut 400 jobs - union","","January 18, 2017 /  5:18 PM / 6 months ago","","LONDON, Jan 18 (Reuters) - Clydesdale Bank Plc is planning to close about a third of its bank branches and fire more than 400 employees to reduce costs, the Unite union said on Wednesday. The Glasgow-based lender is planning to shut 79 branches, the largest closure program in its history, the union said. Unite is clear that the closure of a third of the bank's branches will not only be concerning for staff but the local communities which will see their bank branch close, Unite said in a statement. Reporting By Andrew MacAskill, Editing by Lawrence White"
"https://www.reuters.com/article/us-lloyds-jobs-idUSKBN1771CI","Lloyds Banking Group to close 100 branches and cut over 325 jobs","","April 5, 2017 /  11:16 AM / 4 months ago","","LONDON (Reuters) - Lloyds Banking Group (LLOY.L) plans to close a further 100 branches resulting in the loss of over 325 jobs, the bank said on Wednesday, as part of a strategy to reduce costs. Britain's biggest mortgage lender said the branch cuts were part of 200 closures announced last July, and the move was in response to changing customer behavior toward making more online transactions. The Lloyds group has more than 2,000 branches across the United Kingdom, and approximately 75,000 employees, according to its website.  The trade union Unite condemned the closures, which it said would affect 54 Lloyds branches, 22 Halifax branches and 24 Bank of Scotland branches. The continuous stream of branch closures announced by the UK's retail bank branches appears to show no signs of ending, said Rob MacGregor, Unite national officer. Lloyds earlier this week announced it would reduce some branches to just two staff with tablet computers, in response to fewer customers visiting high street sites and increasingly banking online. The new smaller branches will not have counters, with customers paying in cash and cheques through self-service machines and talking to mortgage advisers through video links. This comes as Lloyds is poised to pass a significant milestone in its recovery from the financial crisis after the government sold more shares in the lender this week and the bank expected to return to private hands next month.  A report by lawmakers last month warned Britain's poor and vulnerable people were hardest hit by bank branch closures, echoing a report by Reuters last June that showed banks were disproportionately closing branches in the lowest-income areas while expanding in wealthier ones. Reporting by Andrew MacAskill and Lawrence White; Editing by Mark Potter"
"https://www.reuters.com/article/idUSL5N1FE3R8","HSBC to close 62 branches in Britain, resulting in 180 job losses","","January 24, 2017 /  12:21 PM / in 6 months","","LONDON, Jan 24 (Reuters) - HSBC said on Tuesday it plans to close 62 branches and fire more than 180 employees marking the end of its branch restructuring program in Britain aimed at reducing costs. HSBC said the number of customers using branches for transactions has fallen by about 40 percent over the last five years, while the number of people making digital transactions has increased. This marks the end of our branch restructuring programme, said Antonio Simoes, chief executive of HSBC in Britain. We now feel we have the right branch network that complements the other ways in which customers now choose to interact with us.    (Reporting By Andrew MacAskill, editing by Anjuli Davies)"
"https://www.reuters.com/article/us-hsbc-jobs-idUSKBN1581IC","HSBC to close 117 branches in Britain, cut 380 jobs","","January 24, 2017 /  12:25 PM / 6 months ago","","LONDON (Reuters) - HSBC (HSBA.L) said on Tuesday it plans to close 117 branches this year and will cut 380 roles in Britain to try to reduce costs. The bank said about 180 jobs will be eliminated in the final round of branch network cuts, marking the end of its restructuring programme in Britain.  Separately, the bank said it would cut a further 200 jobs in  information technology which are being transferred to India, China and Poland, where people can perform the same role on lower salaries. The job cuts angered trades unions. Today is a dark day for hundreds of HSBC staff, said Dominic Hook, a national officer at the Unite union. Unite is deeply concerned that this large branch closure programme will be devastating not only for staff but also for the loyal HSBC customers.  HSBC said the number of customers using branches for transactions has fallen by about 40 percent over the last five years, while the number of people making digital transactions has increased. While banks argue the need to maintain extensive branch networks has fallen sharply, critics say local branches provide a vital service and that elderly and low income customers are hit hardest by closures as many do not have internet access. HSBC is shutting branches more quickly than other major British banks, with 321 closures since 2015, equating to about a quarter of its network, according to research by Britain's largest consumer body Which? published last month. Reuters revealed last year that banks are disproportionately closing branches in the lowest-income areas while expanding in wealthier ones. The British Bankers' Association announced on Tuesday a new plan that will allow more customers to do banking at the post office as lenders step up their closures. HSBC will have about 625 branches across Britain at the end of this year, down from 965 branches at the end of 2016.  (This version of the story was refiled to fix formatting) Reporting By Andrew MacAskill, editing by Anjuli Davies"
"https://www.reuters.com/article/idUSL1N1F01AN","BRIEF-Scotiabank to close 5 percent of branches in next 2 years","","January 10, 2017 /  6:57 PM / in 7 months","","Jan 10 (Reuters) - Bank Of Nova Scotia * Scotiabank ceo says time for a bit of a refresh on nafta * Scotiabank ceo says has closed about 80 branches in past two years * Scotiabank ceo says expects 5 percent of branch network to close over next couple of years * Scotiabank ceo says says will spend between c$2.5-c$2.6 billion on technology investment this year  Further company coverage:    (Reporting by Matt Scuffham)"
"https://www.reuters.com/article/us-royal-bank-scot-branches-idUSKBN16U22Y","RBS to close 180 branches due to dramatic online shift","","March 23, 2017 /  3:09 PM / 4 months ago","","(Reuters) - State-backed Royal Bank of Scotland (RBS.L) said on Thursday it planned to close about 180 bank branches in Britain and Ireland and about 1,000 roles were at risk in the latest round of cuts and closures at the lender. The Edinburgh-based said in a statement the changes were due to a dramatic shift in retail banking with more customers increasingly banking online. RBS said about 770 roles may be eliminated in Britain and about 220 roles in the Republic of Ireland.  The bank said there may be a net reduction of about 480 jobs when newly created roles are included. It plans to close about 128 NatWest, 30 Royal Bank of Scotland and 22 Ulster Bank branches. We're frustrated to see RBS show so little loyalty to our high streets, the Federation of Small Businesses in Scotland said. Branch closures put pressure on local economies and make it harder for local firms to access banking services. FILE PHOTO: A woman uses an ATM at a Royal Bank of Scotland (RBS) branch in London, Britain, February 25, 2010.Toby Melville/File PhotoRBS said the number of people going into branches had dropped by about half on average since 2010, while the number of people making transactions online had jumped fourfold. As customers change the way they bank with us, we must change the way we serve them, the bank said in the statement. Chief Executive Officer Ross McEwan has cut thousands of jobs partly in response to low interest rates and slowing economic growth which have pushed RBS and several of its UK rivals to reduce expenses.  RBS is struggling to return to health after requiring the world's largest bank bailout at the height of the 2007-2009 financial crisis and after nine years of straight annual losses. The bank warned of more jobs and branch closures when it announced a 7 billion pound ($8.8 billion) annual loss last month. At the time, it said it planned to cut 2 billion pounds of costs from the business over the next four years to help improve profits. RBS will be left with just over 1,000 branches across Britain following the closures. Additional reporting by Padraic Halpin and Elisabeth O'Leary. Editing by Lawrence White and David Evans"
"https://www.reuters.com/article/royal-bank-scot-branches-idUSL5N1H0548","RBS to close 180 branches due to dramatic online shift","","March 23, 2017 /  3:09 PM / 4 months ago","","(Reuters) - State-backed Royal Bank of Scotland (RBS.L) said on Thursday it planned to close about 180 bank branches in Britain and Ireland and about 1,000 roles were at risk in the latest round of cuts and closures at the lender. The Edinburgh-based said in a statement the changes were due to a dramatic shift in retail banking with more customers increasingly banking online. RBS said about 770 roles may be eliminated in Britain and about 220 roles in the Republic of Ireland.  The bank said there may be a net reduction of about 480 jobs when newly created roles are included. It plans to close about 128 NatWest, 30 Royal Bank of Scotland and 22 Ulster Bank branches. We're frustrated to see RBS show so little loyalty to our high streets, the Federation of Small Businesses in Scotland said. Branch closures put pressure on local economies and make it harder for local firms to access banking services. FILE PHOTO: A woman uses an ATM at a Royal Bank of Scotland (RBS) branch in London, Britain, February 25, 2010.Toby Melville/File PhotoRBS said the number of people going into branches had dropped by about half on average since 2010, while the number of people making transactions online had jumped fourfold. As customers change the way they bank with us, we must change the way we serve them, the bank said in the statement. Chief Executive Officer Ross McEwan has cut thousands of jobs partly in response to low interest rates and slowing economic growth which have pushed RBS and several of its UK rivals to reduce expenses.  RBS is struggling to return to health after requiring the world's largest bank bailout at the height of the 2007-2009 financial crisis and after nine years of straight annual losses. The bank warned of more jobs and branch closures when it announced a 7 billion pound ($8.8 billion) annual loss last month. At the time, it said it planned to cut 2 billion pounds of costs from the business over the next four years to help improve profits. RBS will be left with just over 1,000 branches across Britain following the closures. Additional reporting by Padraic Halpin and Elisabeth O'Leary. Editing by Lawrence White and David Evans"
"https://www.reuters.com/article/royal-bank-scot-branches-idUSL5N1H050C","RBS says to close more than 150 bank branches in Britain","","March 23, 2017 /  3:08 PM / in 4 months","","March 23 (Reuters) - Royal Bank of Scotland is to close more than 150 bank branches in Britain and cut hundreds of jobs, the state-backed lender said on Thursday. The Edinburgh-based lender said in a statement the closures were in response to changing customer behaviour. Reporting by Andrew MacAskill; Writing by Rachel Armstrong,
Editing by Lawrence White"
