url,title,tag,time,short_text,long_text
"https://www.reuters.com/article/us-nomura-jafco-idUSKBN1AD05O","Japan's Nomura sells stake in venture capital firm Jafco","","8:47am EDT","Nomura Holdings Incsaid on Friday it had sold all its shares of its stake in Jafco Coback to the venture capital firm, as the Japanese brokerage seeks to shift capital into areas where it sees more growth.","TOKYO (Reuters) - Nomura Holdings Inc (8604.T) said on Friday it had sold all its shares of its stake in Jafco Co (8595.T) back to the venture capital firm, as the Japanese brokerage seeks to shift capital into areas where it sees more growth. Nomura, Japan's largest brokerage and investment bank, said in May it wanted to use its capital more efficiently. It is currently expanding its U.S. investment banking business. Selling the stake in Jafco would contribute to Nomura's drive to enhance capital efficiency and optimally allocate its management resources, Nomura said. Shares in Nomura closed down 1.5 percent at 650.1 yen, while Jafco shares ended up more than 15 percent at 5,260 yen, their highest since October 2015. The benchmark Nikkei .N225 average index fell 0.6 percent. Nomura sold its 8.48 million shares, or 17.6 percent stake, in Jafco, at 4,560 yen ($41) per share, raising 38.7 billion yen ($348 million), Nomura said in a statement. Nomura Research Institute Ltd (4307.T), in which Nomura holds a 37.2 percent stake, tendered to sell 4.95 million Jafco shares, Jafco said. Jafco said it was buying 13.4 million shares from the two tenders for 61.3 billion yen ($551.21 million). The deal would generate for Nomura a pretax profit of about 9 billion yen ($80.9 million), to be booked in the July-September period, Nomura said. In a separate statement, Jafco said it would tender 5 million shares in Nomura Research Institute, adding that if it sold all the shares it planned to book a gain of 18.4 billion yen ($165.5 million) in the July-September period.In May, Nomura Holdings began unofficial talks with Japan Post Holdings Co (6178.T) to sell a stake in group company Nomura Real Estate Holdings (3231.T), a source told Reuters.The deal broke down in June. Nomura Real Estate said Japan Post was no longer considering buying a stake. After the Jafco sale, Chief Financial Officer Takumi Kitamura told a conference call Nomura was not planning to sell holdings in Nomura Real Estate and Nomura Research Institute, in which it has 34.1 percent and 37.2 percent stakes, respectively. Reporting by Thomas Wilson; Editing by Jacqueline Wong and Edmund Blair"
"https://www.reuters.com/article/us-hutchison-m-a-tele2-austria-idUSKBN1AD0TF","Hutchison's Drei buys Tele2 to rival Carlos Slim in Austria","","8:42am EDT","Mobile telecoms firm Hutchison Drei Austria is buying landline-focused Tele2 from its Swedish owner for 95 million euros ($111 million) to create a rival to Mexican tycoon Carlos Slim's Telekom Austria.","VIENNA (Reuters) - Mobile telecoms firm Hutchison Drei Austria is buying landline-focused Tele2 from its Swedish owner for 95 million euros ($111 million) to create a rival to Mexican tycoon Carlos Slim's Telekom Austria. Drei said on Friday the merged group, led by Hong Kong-based Hutchison, would have around 1 billion euros in annual sales and four million mobile, landline and internet lines.This compares with 3.4 million lines and 2016 revenue of 2.6 billion euros at Telekom Austria's A1 unit, which has so far had a monopoly on these combined telecoms services in the country with a population of 8.7 million. This is a clear challenge to (Telekom Austria's) A1, said Drei Austria Chief Executive Jan Trionow at a news conference.We want to move closer to A1 and will certainly not stop once we've reached them. A1 has a larger share of the lucrative market for business customers. Trionow said it was too early to give longer-term earnings and sales guidance. The new management structure was also still being discussed.Tele2 as a brand will be withdrawn from the Austrian market within the next 12 months, he said. Austria is a highly competitive market for telecoms companies, especially in mobile broadband. All major operators, including Deutsche Telekom's Austrian unit, have an aggressive pricing policy.Hutchison and Slim's America Movil became key players in the Austrian telecoms market in 2013 and 2014 with the Asian group buying France Telecom's Orange Austria and Slim becoming the majority owner of former state monopoly Telekom Austria.Both groups invested about a billion euros at the time, hoping for further growth opportunities elsewhere in Europe. As these hopes did not materialize, digital broadband has become the major battleground. The Drei Austria chief said the new group will play an integral part in providing high-speed internet for companies in Austria after the Organisation for Economic Co-operation and Development (OECD) warned recently that progress was lagging most rich countries.The government wants companies to have access to high-speed broadband internet even in the remotest parts of the Alpine country by 2020. Hutchison, the number one in mobile internet and mobile entertainment services in Austria, plans to expand its expertise to business customers and generate more than 25 percent of revenue from them in the medium term.At the merged group, that ratio would currently be 22 percent. The deal is expected to close this year, pending regulatory approval. Editing by Alexander Smith and Keith Weir"
"https://www.reuters.com/article/us-noble-grp-structure-idUSKBN1AC1LT","At 'bare bones' Noble Group, staff exits and debt pose more risks","","8:08am EDT","Noble Groupis slimming down drastically to its core Asian coal-trading business, but that may not be enough to revive its fortunes due to a staff exodus, shrunken balance sheet and debts of more than $3 billion, analysts and industry sources say.","SINGAPORE (Reuters) - Noble Group (NOBG.SI) is slimming down drastically to its core Asian coal-trading business, but that may not be enough to revive its fortunes due to a staff exodus, shrunken balance sheet and debts of more than $3 billion, analysts and industry sources say. Once Asia's largest commodities trading house, Singapore-listed Noble is a shadow of what it was during the boom years, when it snapped up assets from sugar mills to coal mines and expanded globally to rival Glencore (GLEN.L) and Trafigura. In a dramatic overhaul announced on Wednesday, it sold its U.S. gas and power business to a Swiss-based peer, Mercuria Energy Group, for $248 million, started a process to sell its oils liquids unit and announced plans for up to $1 billion of disposals over the next two years. It also flagged a $1.3 billion writedown, leading to a quarterly loss of up to $1.8 billion on a more conservative balance sheet valuation. You are essentially getting back to a contract book that's worth $1.2 billion and meanwhile you have debt at $3.3 billion. So that's clearly not sustainable, said Andy DeVries, New York-based analyst at CreditSights, an independent research firm. You can't asset sale your way out of this. You can't grow the earnings out of this. You need a change in the capital structure. It's essential. Sources close to the company and investors said the business remains hemmed in by financing constraints - a major issue for trading houses - and has lost many traders, analysts and managers over the past months, despite cash offers to keep key staff until December. Recruiters cite high-profile departures, including veterans in Noble's U.S. aluminum business. Other exits include the company's head of the quantitative strategists team, who confirmed he left Singapore last week to return to his native Iceland. Its head of forex and rates left after an eight-year stint and its Asia treasury chief quit. Noble's chief iron ore analyst, Gueorgui Pirinski, joined rival Rio Tinto (RIO.AX) in May. Noble declined to comment for this story. Commodity trading is a people business and relies heavily on the contacts and expertise of its traders and analysts. In theory, Noble had a very large oil trading business that was worth a lot of money, said CreditSights' DeVries. In reality, they lost most of the key traders in that business. It is very bare bones and they are selling the remaining bones. Red October Noble was thrust into the spotlight in February 2015 when previously obscure Iceberg Research accused it of overstating its assets by billions of dollars, which Noble rejected. In 2015, consultants PricewaterhouseCoopers found Noble had complied with international accounting rules. But as far back as January 2016, Noble's founder and then chairman, Richard Elman, told Reuters in an interview that the firm needed to go back to being modest and cautious and economical. After Wednesday, the company's latest overhaul, its shares slid by nearly 49 percent, valuing the group at less than $400 million - far below its $10 billion peak. The stock has slumped 75 percent this year. A representative of Iceberg told Reuters: Noble is facing the perfect storm for a trader - prohibitive cost of funding, both counterparties and banks are cutting their exposure, many traders have left. It is simply not possible to get out of this hole. Noble's key 2020 bond USG6542TAE1=TE also fell, trading down half a point at 32.5/36.25 cents on the dollar. The latest bond, issued in March and due in 2022 < XS157733877=TE>, has slumped to 32.9/35.55 - less than a third of its value in little over 4 months. S&P; Global Ratings in May cut Noble's corporate credit ratings to junk status, warning of a default. Analysts expect Noble's latest plan to mark the prelude to talks with bondholders. On one hand the asset sales can arrest an immediate liquidity crunch, but on the other hand it means that the large chunk of the core business will be gone, said Chris Park, an analyst at Moody's. The question is if it can service its remaining debt even if it can reduce the short term liquidity issues. Last month, Noble extended a key debt deadline to Oct. 20, providing a lifeline to the company, and it said on Wednesday it was in still talking with banks. Previously a large player in metals, agriculture, oil, natural gas, iron ore and coal, market participants say Noble has for months been largely reduced to trading physical coal supply contracts it has with customers, including deals to ship thermal coal from Indonesia's Kalimantan to clients in North Asia. While other merchants, including its bigger European rival Glencore, have recovered from the 2015/2016 commodities slump, Noble's decline has been steep. But it woes do not appear to pose a wider risk of contagion to the sector. They are virtually absent from physical oil or liquefied natural gas. The capital requirements for them are just too high, and the counterparty risk to engage with them is too high for us, said one energy trader who used to regularly deal with Noble. It's sad to see. The market lost a major participant, and I know guys there. It's not an easy situation for them to be in. Reporting by Anshuman Daga, Henning Gloystein in SINGAPORE and Umesh Desai in HONG KONG; Editing by Clara Ferreira Marques and Alex Richardson"
"https://www.reuters.com/article/us-china-cic-logicor-idUSKBN1AD1A0","China's CIC raising $8 billion loan for Logicor acquisition: Basis Point","","6:47am EDT","The China Investment Corp sovereign wealth fund is arranging a 6.8 billion euro ($7.96 billion) loan to fund its acquisition of European warehouse firm Logicor, people with direct knowledge of the matter told Thomson Reuters publication Basis Point.","HONG KONG (Reuters) - The China Investment Corp sovereign wealth fund is arranging a 6.8 billion euro ($7.96 billion) loan to fund its acquisition of European warehouse firm Logicor, people with direct knowledge of the matter told Thomson Reuters publication Basis Point. Bank of China (601988.SS) (3988.HK) and China Construction Bank (601939.SS) (0939.HK) have jointly underwritten the loan, which marks CIC's debut in the syndicated loan market, the people said. In June, CIC agreed to a buyout of Logicor [IPO-LOG.L] from Blackstone Group LP (BX.N) for 12.25 billion euros ($14.34 billion) in Europe's biggest private equity real estate deal. CIC's loan is the largest from an Asian sovereign wealth fund and a rare acquisition financing, Basis Point reported. Among other Asian sovereign wealth funds that have been active in overseas acquisitions, only Singapore's Temasek Holdings and Malaysia's Khazanah Nasional have raised funds in the loan market, according to Thomson Reuters LPC data. Bank of China and China Construction Bank are expected to jointly lend 3.8 billion euros of the total 6.8 billion euros being raised, while the remainder will be syndicated to other banks, the people told Basis Point. The people declined to be identified as the discussions are confidential.Representatives at Bank of China, CIC, and China Construction Bank did not respond to Reuters requests seeking immediate comment. Reporting by Carol Zhong and Yan Jiang; additional reporting by Shu Zhang in Beijing and Julie Zhu in Hong Kong; writing by Sumeet Chatterjee; editing by Jason Neely"
"https://www.reuters.com/article/us-china-m-a-usa-idUSKBN1AD0HA","Value of U.S. deals in China sinks on rising trade tensions","","6:42am EDT","U.S. corporate acquisitions in China collapsed to their lowest level for 14 years in the first half of this year, as trade tensions between the two countries and uncertainty about Chinese government regulations took a toll on deal making.","HONG KONG (Reuters) - U.S. corporate acquisitions in China collapsed to their lowest level for 14 years in the first half of this year, as trade tensions between the two countries and uncertainty about Chinese government regulations took a toll on deal making. The value of mergers and acquisitions involving American companies in China dropped 32 percent to just $523 million in the six months to June 30 from $771 million in the same period last year, and were down 87 percent from $4 billion in the first six months of 2015, according to Thomson Reuters data. Bankers and lawyers involved in deal making say that increasing signs of trade friction between Washington and Beijing are acting as a deterrent. The tensions were reflected at a meeting earlier this month when officials from the two countries failed to agree on major new steps to reduce the U.S. trade deficit with China. American companies do not want to make acquisitions in an environment where they could get caught in crossfire between the two governments, these sources said. That could happen if, for example, U.S. President Donald Trump's administration imposed punitive tariffs on Chinese steel and other products and Beijing retaliated with its own action against American goods or entities. (For a graphic on U.S. M&A; in China, click tmsnrt.rs/2gWn98u) That in turn leads to the danger that American companies won’t be able to take full advantage of China’s still buoyant economic growth of just under 7 percent a year, adding further to the stresses in the trade and investment relationship between the two countries.The new norm for China and the U.S. is to be at odds on trade issues. As of now, they are having huge differences with regards to the steel industry, huge differences with regards to trade imbalance, said Roy Zou, a Beijing partner at law firm Hogan Lovells. “I don't see a big increase in U.S. investments in China.” China's Ministry of Commerce (MOFCOM) did not respond to Reuters faxed request for comment on the drop in U.S. acquisitions. The decline is happening at a time when Chinese deals in the U.S. are still rising, though opposition in Washington to certain kinds of Chinese purchases on national security grounds is also increasing and could add to tensions.Foreign Firms Complain European companies' deal making has also been declining but at a slower pace. Their acquisitions in China in the first half of this year were worth $223 million, against $268 million in the same period last year.Foreign firms have complained for some time about not being offered a level playing field in China. Among their concerns are restrictions on foreign ownership in key sectors – including finance and technology – and various regulations that favor domestic firms over foreign rivals.And all of this can make them think twice about pulling the trigger on a major acquisition, trade experts said.\ Foreign investors face explicit and implicit ownership restrictions in the most attractive sectors, and they are also not able to participate in the restructuring and consolidation of ailing industries, said Rhodium Group economist Thilo Hanemann, who analyses China’s international investment position. FILE PHOTO: China's President Xi Jinping arrives for the opening ceremony of B20 Summit ahead of G20 Summit, in Hangzhou, Zhejiang Province, China, September 3, 2016.Aly Song/File PhotoThe American Chamber of Commerce in Shanghai said in its annual China Business Report published on July 12 that the Chinese government needed to halt policies and regulations that favor domestic firms over foreign businesses.The lobby group complained of long-established systemic inequities, in the report, which was based on responses from 426 AmCham member companies in China. While buyers of assets in China have faced many such challenges before, they haven’t usually had to do so against such a backdrop of trade tensions and wider political uncertainty. There is a lot of grandstanding going on between the two countries, said a senior M&A; banker at a U.S. bank in Hong Kong. Not many would like to deploy a couple of billion dollars now when you are not sure of the regulatory landscape and what shape and form it would take. This picture is further complicated by the approaching 19th National Congress of the Chinese Communist Party, this autumn. The gathering is expected to lead to a consolidation of President Xi Jinping’s power. Many of the organs of the party and government are focused on making sure the Congress, which is held every five years, goes off without a hitch and that there isn‘t any kind of economic or political schism in the months leading up to it.FILE PHOTO: The logo of Morgan Stanley is seen at an office building in Zurich, Switzerland September 22, 2016.Arnd Wiegmann/File PhotoChinese economic bureaucracy is now dominated by a desire to manage systemic risk in preparation for the upcoming 19th Party Congress, said Brock Silvers, managing director of Kaiyuan Capital, a Shanghai-based investment advisory firm.Any policies or reforms to be adopted after the Congress are still unknown, he said, adding last week his firm advised a U.S. private equity fund to postpone plans for China investments until regulatory issues are clarified. The Chinese authorities’ increasing scrutiny of some of the most acquisitive Chinese companies of recent years, such as the HNA Group Co Ltd, which has led to a slowdown in their deal making, has added to the uncertainty. This is focusing attention on the opaque nature of their ownership and finances and may make them less appealing as deal makers, whether as buyers and sellers of assets, or as partners in any transactions. There have been 17 announced acquisitions of companies in China by U.S. firms this year, compared to 39 in whole of 2016. The average value is down to $43 million this year from $73 million in 2008, when U.S. acquisitions hit an all-time high of $12 billion.Some trade experts worry that a more hawkish Washington approach to the national security risks of proposed Chinese investments in the U.S. could easily trigger retaliation from Beijing. The sense we get from talking to our clients is there is concern as to whether anti-trust policies (in China) could now be used to discriminate against foreign enterprises, said Mustafa Hadi, head of disputes and international arbitration for Greater China and North Asia, at advisory and consultancy firm Berkeley Research Group. In the financial sector in particular, there are concerns that some deals and expectations of reform could get derailed if Sino-U.S. relations deteriorate, according to people familiar with the situation. JPMorgan Chase & Co is in talks to set up a new joint venture with a local partner in China, while Morgan Stanley is looking to further increase its stake in its mainland China investment-banking operations after already raising it to 49 percent this year, people with direct knowledge of the discussions have said. JPMorgan and Morgan Stanley declined to comment.Reporting by Sumeet Chatterjee and Kane Wu; Editing by Martin Howell"
"https://www.reuters.com/article/us-ofo-fundraising-softbank-idUSKBN1AD0KE","China's Ofo in talks to raise $1 billion, led by SoftBank: sources","","5:09am EDT","Chinese startup Ofo is in talks to raise $1 billion in a new funding round led by Japan's SoftBank Group, people familiar with the matter said, in what would be the largest fund-raising in the nation's bike-sharing business.","HONG KONG (Reuters) - Chinese startup Ofo is in talks to raise $1 billion in a new funding round led by Japan's SoftBank Group, people familiar with the matter said, in what would be the largest fund-raising in the nation's bike-sharing business. Didi Chuxing, China's biggest ride-hailing firm which counts SoftBank as an investor, could join Ofo's new fundraising round，the sources told Reuters. Ofo could reach a valuation of close to $3 billion after the funding, one of the sources said. Ofo and Mobike, China's two largest bike-sharing startups, each has raised over $1 billion since late last year in a cash war to expand market share at home and overseas.Ofo is seeking fresh capital less than a month after raising more than $700 million from investors led by Alibaba Group and two others, following rival Mobike, which in June announced a $600 million investment led by Tencent Holdings. The latest Ofo investment plan has not been finalised, the sources said, who declined to be identified as the discussions are private. SoftBank and Didi declined to comment. Ofo didn't immediately respond to Reuters' request for comment. Ofo did not disclose its valuation in the last funding round. Dai Wei, Ofo's founder and CEO, had said in April the firm was valued at upwards of $2 billion. Mobike's valuation reached around $2.7 billion-$3.0 billion after the June funding round, according to three sources close to the startup. And it is also open to raising new money, one of them said. Mobike declined to comment. Ofo said earlier this month it plans to deploy 20 million bikes and expand its service to 200 cities in 20 countries by the end of 2017. It said it has connected over 6.5 million bikes to riders in 150 cities across five countries, generating more than 25 million transactions daily. Mobike has said it has over 5 million bikes in more than 100 cities in the world. The company said on Wednesday it would start offering bike rides in Italy. The rapid fundraising and broad expansion plans of the bike-sharing companies are worrying some investors. We hope they (the recent funding rounds) wouldn't lead to endless bike piling and price competition, said a venture capitalist who invests in China's bike-sharing apps and could not be named because he was not authorized to speak to the media. China currently has at least 10 operational bike-sharing apps. Local regulators have raised concerns that bikes could add to congestion on the streets. The bikes are also easily stolen or vandalized, adding extra costs to the companies. Didi's Influence Didi, already an investor in Ofo, has been increasing its influence at the company. Three of its senior executives joined Ofo this week, according to local media. Ofo told local media on Wednesday it had named Fu Qiang, a former senior vice-president of Didi, executive president of the company but did not confirm the hiring of the other two.For SoftBank, which recently launched a near $100 billion technology fund, an investment in Ofo would be another bet on China's sharing-based economy that has already attracted billions in venture capital. The Japanese conglomerate in May agreed to invest $5 billion in Didi, putting an over $50 billion valuation on the Chinese company. Reporting by Kane Wu and Julie Zhu; Additional reporting by Sijia Jiang in HONG KONG and Makiko Yamazaki in TOKYO; Editing by Muralikumar Anantharaman"
"https://www.reuters.com/article/us-air-france-klm-alliance-virgin-atlant-idUSKBN1AD0UE","Air France-KLM agrees option for Virgin Atlantic ownership in event of hard Brexit","","3:40am EDT","Air France-KLM, Delta Air Lines and Virgin Atlantic have agreed a so-called 'put' option with Virgin Group that allows Virgin Atlantic to remain in majority UK ownership in the event of a hard Brexit.","BERLIN (Reuters) - Air France-KLM, Delta Air Lines and Virgin Atlantic have agreed a so-called 'put' option with Virgin Group that allows Virgin Atlantic to remain in majority UK ownership in the event of a hard Brexit. Richard Branson's Virgin Group on Thursday said it would sell a 31 percent stake in Virgin Atlantic to Air France-KLM, reducing its stake to 20 percent. U.S. carrier Delta remains the largest shareholder with a 49 percent stake.At present, Virgin Atlantic must be majority owned by EU investors to retain its operating rights as a European carrier, but it is not clear what ownership rules will look like after Britain's exit from the European Union.The put option means we can easily, immediately restore UK citizenship into the stake of Virgin Atlantic if it was necessary or mandatory after Brexit, Frederic Gagey, CFO of Air France-KLM said on Friday.He added he was confident there would be a liberal air traffic rights deal between Britain and the United States after Brexit. Currently, Virgin Atlantic has unlimited flying rights to the United States thanks to the EU-US Open Skies deal.Air France-KLM will also remain EU majority-owned even if UK shareholdings become non-EU after Brexit, despite Delta and China Eastern planning to take 10 percent stakes, executives added. Gagey said he estimates around 6-7 percent of the group is currently owned by UK investors.Reporting by Victoria Bryan; Editing by Sudip Kar-Gupta"
"https://www.reuters.com/article/us-yancoal-australia-idUSKBN1AC08T","Glencore signs deals to buy 49 percent of Hunter Valley coal","","2:55am EDT","Glencore said on Thursday it had signed agreements to buy a 49 percent stake in coal mines in Australia's Hunter Valley for just over $1.1 billion, getting a share of assets it was expected to miss out on to China's Yancoal.","SYDNEY/LONDON (Reuters) - Glencore said on Thursday it had signed agreements to buy a 49 percent stake in coal mines in Australia's Hunter Valley for just over $1.1 billion, getting a share of assets it was expected to miss out on to China's Yancoal. Glencore has long wanted Rio Tinto's Hunter Valley Operations (HVO) but Yancoal Australia was confirmed last month as the preferred bidder for Rio's Australian Coal & Allied division, which owns the mines. Glencore said on Thursday, however, it would buy a 16.6 percent stake in HVO from Yancoal and 32.4 percent from Mitsubishi Corp, and then form a joint venture to run the mines with Yancoal, which will keep a 51 percent stake. Yancoal's Chinese parent company Yanzhou said on Wednesday its board had approved the transfer of the 16.6 percent interest in the HVO joint venture, without naming the buyer, provided the Rio sale was completed. HVO is widely regarded as the more valuable of the two Hunter Valley coal complexes that Yancoal is set to acquire from Rio Tinto for $2.7 billion after Glencore lost out in a bidding war with the Chinese-owned coal miner. Glencore wants the assets that adjoin operations it owns in the Hunter Valley. It first tried to acquire Coal & Allied in 2015, when Rio Tinto made it clear that coal was no longer part of its growth strategy. Analysts said Glencore planned to blend the HVO coal with coal from its existing operations to customize shipments to power-generating customers. Thursday's statement says Glencore will be the exclusive marketing agent for Hunter Valley coal sales into Japan, South Korea and all other countries except China, Taiwan (with certain exclusions), Thailand and Malaysia. It also gets the right to nominate candidates for the HVO general manager, while Yancoal will nominate candidates for financial controller. Glencore is already the world's largest exporter of sea-traded thermal coal, with interests in 28 mines in Australia, Colombia and South Africa. Under Thursday's announcement, Glencore will pay $1.139 billion in cash and a 27.9 percent share of $240 million in non-contingent royalties over five years, as well as subscribing to $300 million worth of shares Yancoal is selling as part of a capital increase to fund its Rio Tinto deal. The joint venture deal is expected to be completed within six months. Mitsubishi, which said in June it would sell its HVO stake to whoever won the Rio assets, said on Friday that negotiations to sell its interest and over transfer marketing rights were still underway.We have not made any agreement with Glencore on a sale of our 32.4 percent stake in HVO, including marketing rights in Japan, a company spokesman said. We will talk to Glencore and Yancoal on the deal, he said. Glencore declined further comment. Analysts said Glencore and Yancoal both gained as Glencore would get the assets it wanted most and Yancoal would reduce the cost of its deal with Rio. BMO Capital Markets analyst Edward Sterck calculated the price paid by Glencore would be about 8 percent lower than the implied valuation of Yancoal's bid, though Glencore was only getting a minority stake as well as buying Yancoal shares. Glencore's share price rose 0.3 percent on Thursday, recovering from a decline in early trade after the company cut its 2017 production targets. Additional reporting by Sonali Paul, Lee Chyen Yee in Hong Kong and Yuka Obayashi in TOKYO; editing by David Clarke and Richard Pullin"
"https://www.reuters.com/article/us-air-france-klm-alliance-china-eastern-idUSKBN1AD051","China Eastern buying 10 percent Air France KLM stake as part of airline JVs' rejig","","1:35am EDT","China Eastern Airlines Corp Ltd said on Friday it is buying a 10 percent stake in Europe's Air France KLM SA, in what will be the first investment by one of China's three largest state-owned airlines in a Western carrier.","SINGAPORE/SHANGHAI (Reuters) - China Eastern Airlines Corp Ltd said on Friday it is buying a 10 percent stake in Europe's Air France KLM SA, in what will be the first investment by one of China's three largest state-owned airlines in a Western carrier.The deal is part of a broader plan between Delta Air Lines Inc, Virgin Atlantic and Air France-KLM that was announced on Thursday to combine two overlapping transatlantic joint-ventures, supported by equity deals worth $1 billion. Delta, which holds a 3.2 percent stake in China Eastern, is also buying a 10 percent stake in Air France KLM.China Eastern said its 375 million euro ($438 million) investment in Air France KLM was compatible with the government's Belt and Road initiative which seeks to improve trade and transport links between Asia and Europe.The parties will work together to build the China-Europe main routes market, China Eastern said. China Eastern, along with rivals China Southern Airlines Co and Air China Ltd have been expanding their global route networks as Chinese outbound tourism and trade investment increases. While HNA, the parent company of China's largest private operator Hainan Airlines, has taken stakes in a number of Western airlines, none of China's three largest state carriers have done so. Air China has a cross-shareholding with Hong Kong's Cathay Pacific Airways Ltd. There has been interest from state-owned airlines to buy foreign airlines but those deals were never completed. So yes, this is the first, said Will Horton, senior analyst at Australian aviation consultancy CAPA.China Eastern may be different since it is part of state owned enterprise reform, he said, adding that Delta might have guided China Eastern on the equity investment. Beijing has been advocating ownership reforms at its state-owned companies in a bid to revamp the country's bloated state sector and help such firms to become more competitive globally.Air France KLM said in a statement that the alliance would give it a European leadership position in Shanghai, the main business travel market in China. Reporting by Jamie Freed in SINGAPORE and Brenda Goh in SHANGHAI; Editing by Richard Pullin and Muralikumar Anantharaman"
"https://www.reuters.com/article/us-airfranceklm-alliance-idUSKBN1AC2MO","Delta, Air France-KLM, Virgin rejig Atlantic alliances","","1:32am EDT","Delta Air Lines , Air France-KLMand Virgin Atlantic unveiled plans on Thursday to combine two overlapping transatlantic joint-ventures, supported by equity deals worth $1 billion, as airlines brace for more competition.","PARIS/NEW YORK (Reuters) - Delta Air Lines (DAL.N), Air France-KLM (AIRF.PA) and Virgin Atlantic unveiled plans on Thursday to combine two overlapping transatlantic joint-ventures, supported by equity deals worth $1 billion, as airlines brace for more competition. The shake-up is designed to strengthen carriers on the lucrative North Atlantic, where low-cost entrants have shaken up the market, and comes as Britain negotiates to leave the European Union, creating a tangle over Heathrow access. The realignment coincides with a deal for Air France-KLM to deepen its commercial ties with China Eastern (600115.SS) to build what it described as the European leg of a global network. The new 15-year partnership combines existing joint-ventures between firstly Air France-KLM, Delta and Alitalia, and secondly between Delta and Virgin Atlantic, Air France-KLM said. What it does is brings together the missing piece of that triangle: the missing link between Air France-KLM and Virgin Atlantic, Atmosphere Research Group analyst Henry Harteveldt said, noting Delta's existing ventures with both carriers.Airlines have few options for traditional cross-border consolidation because of complex national ownership rules. The role of Alitalia in the new alliance is dependent on what will happen in the months to come, with an administrator currently seeking offers for the struggling carrier. Air France-KLM said one option could be for Alitalia to cooperate as an associate partner. At the same time as forging the expanded alliance, Air France-KLM will buy 31 percent of Virgin Atlantic [VA.UL] from Richard Branson's Virgin Group for around 220 million pounds ($287 million). Delta and China Eastern will each acquire a 10 percent stake in Air France-KLM by subscribing to new shares through reserved capital increases totalling 751 million euros ($877 million). Delta shares traded down just under 1 percent, weighed by disappointing third-quarter outlooks by rival U.S. carriers. Antitrust Concerns The deal - which is subject to regulatory approval - would give the partners a stronger position on the North Atlantic market with a combined 27 percent of capacity, ahead of rivals, according to Flightglobal Schedules data. What it gives the ability to do is manage capacity and pricing more broadly on the Atlantic, assuming they get anti-trust immunity, Robert Mann, analyst at R.W. Mann & Co, said. But James Halstead, a managing partner at Aviation Strategy, said the deal raised questions about Virgin Atlantic's traffic rights from the UK after Britain's planned exit from the European Union, since it would no longer be a mainly UK firm. The deal makes Air France-KLM the second largest shareholder in Virgin Atlantic after Delta, which owns a 49 percent stake, and reduces Virgin Group's stake to 20 percent.The rules in front of us today are European; this (deal) complies with those. We will deal with any changes when they come, Virgin Atlantic chief commercial officer Shai Weiss said. The Brexit vote has left the region's carriers looking for ways to protect traffic rights and shareholder structures even though the outcome of future negotiations is unclear. John Grant of JG Aviation Consultants said the deal could prompt other creative solutions in ownership structures and equity shares in the coming months.Additional reporting by Alana Wise, Cyril Altmeyer; Editing by Andrew Callus and Elaine Hardcastle"
