url,title,tag,time,short_text,long_text
"https://www.reuters.com/article/us-bank-of-america-idUSKBN15M2DY","Bank of America opens branches without employees","","February 7, 2017 /  8:31 PM / 6 months ago","","(Reuters) - Bank of America Corp has opened three completely automated branches over the past month, where customers can use ATMs and have video conferences with employees at other branches, according to spokeswoman Anne Pace. Like many U.S. banks in recent years, Bank of America has been reducing its overall branch count to cut costs even as it opens new branches in select markets. New branches are typically smaller, employ more technology, and are aimed at selling mortgages, credit cards and auto loans rather than simple transactions such as cashing checks. Pace said there is one completely automated branch in Minneapolis and one in Denver, both of which are relatively new markets for the bank's consumer business. They are about a quarter of the size of a typical branch. The new branches were mentioned briefly Tuesday by Dean Athanasia, co-head of Bank of America's consumer banking unit, during a question and answer session at an investor conference, but he did not provide details. Athanasia said Bank of America will open 50 to 60 new branches over the next year, though Pace said the bank will also be closing branches in certain markets, so the 50 to 60 branches do not represent a net increase. Bank of America opened 31 new branches in 2016.   Bank of America had 4,579 financial centers at the end of the fourth quarter of 2016, compared to 4,726 in the fourth quarter of 2015 and 5,900 at the end of 2010. Reporting by Dan Freed in New York; editing by Clive McKeef"
"https://www.reuters.com/article/idUSL4N1FL0DW","BRIEF-Aidma Marketing Communication to open branch in Morioka","","January 31, 2017 /  2:19 AM / 6 months ago","","Jan 31 (Reuters) - Aidma Marketing Communication Corp    : * Says the co plans to open new branch in Morioka, aiming to develop sales and promotion business in Northeast area of Japan * Says effective April 1 Source text in Japanese:goo.gl/ZfTxJa Further company coverage:    (Beijing Headline News)"
"https://www.reuters.com/article/idUSL4N1E922U","BRIEF-First Capital Securities opens new branch in Hebei","","December 14, 2016 /  5:29 AM / 7 months ago","","Dec 14 (Reuters) - First Capital Securities Co., Ltd. : * Says it opened new branch in Hebei Source text in Chinese:goo.gl/2LFvi5 Further company coverage:    (Beijing Headline News)"
"https://www.reuters.com/article/idUSL4N1E32C0","BRIEF-Recomm unit opens branch in Guangzhou, China","","December 8, 2016 /  6:10 AM / in 8 months","","Dec 8 (Reuters) - Recomm Co Ltd   : * Says its China-based business solutions unit opened branch in Guangzhou on Dec. 8 Source text in Japanese:goo.gl/RHztKx Further company coverage:    (Beijing Headline News)"
"https://www.reuters.com/article/bank-of-america-idUSL1N1FS1JD","Bank of America to open 50 to 60 branches over the next year","","February 7, 2017 /  8:29 PM / 6 months ago","","Feb 7 (Reuters) - Bank of America Corp will open 50 to 60 new branches over the next year, Dean Athanasia, co-head of its consumer banking unit, said during a question and answer session Tuesday at a conference hosted by Credit Suisse. A bank spokeswoman told Reuters Bank of America will also be closing branches in certain markets, so the 50 to 60 branches do not a represent a net increase. Reporting by Dan Freed in New York; editing by Diane Craft"
"https://www.reuters.com/article/ocbc-growth-idUSL8N1DN2GE","Bank of Singapore to open branch in Dubai's financial hub","","November 22, 2016 /  10:45 AM / 8 months ago","","DUBAI, Nov 22 (Reuters) - Bank of Singapore, a unit of Oversea-Chinese Banking Corp, said on Tuesday it had received a licence to open a branch in Dubai International Financial Centre (DIFC) as it aims to tap demand from wealthy individuals in the Middle East. The bank said the licence allows it to conduct private banking including investment, credit and wealth planning advisory services to its ultra-high and high net worth clients. Private wealth in the Middle East and North Africa is projected to rise at a compound annual rate of 8.2 percent to reach $11.8 trillion by 2020, according to research from Boston Consulting Group. The rate of growth is higher than for most other regions including North America, Europe and Latin America. Bank of Singapore has held a presence since 1996 in Dubai through its representative office based outside the DIFC, the emirate's financial free zone. It said its assets under management in the Middle East had doubled and net new money had grown by almost five times over the past three years. Chief Executive Bahren Shaari said the bank aimed to scale up its research and advisory capabilities in the region with the opening of the new branch, due to take place in the first quarter of 2017.    (Reporting by Tom Arnold; Editing by Mark Trevelyan)"
"https://www.reuters.com/article/bank-of-america-idUSL1N1FS1QK","Bank of America opens branches without employees","","February 7, 2017 /  8:31 PM / 6 months ago","","(Reuters) - Bank of America Corp has opened three completely automated branches over the past month, where customers can use ATMs and have video conferences with employees at other branches, according to spokeswoman Anne Pace. Like many U.S. banks in recent years, Bank of America has been reducing its overall branch count to cut costs even as it opens new branches in select markets. New branches are typically smaller, employ more technology, and are aimed at selling mortgages, credit cards and auto loans rather than simple transactions such as cashing checks. Pace said there is one completely automated branch in Minneapolis and one in Denver, both of which are relatively new markets for the bank's consumer business. They are about a quarter of the size of a typical branch. The new branches were mentioned briefly Tuesday by Dean Athanasia, co-head of Bank of America's consumer banking unit, during a question and answer session at an investor conference, but he did not provide details. Athanasia said Bank of America will open 50 to 60 new branches over the next year, though Pace said the bank will also be closing branches in certain markets, so the 50 to 60 branches do not represent a net increase. Bank of America opened 31 new branches in 2016.   Bank of America had 4,579 financial centers at the end of the fourth quarter of 2016, compared to 4,726 in the fourth quarter of 2015 and 5,900 at the end of 2010. Reporting by Dan Freed in New York; editing by Clive McKeef"
"https://www.reuters.com/article/emirates-banking-idUSL5N1GL67L","UAE's Union National Bank to open China branch, expand in Egypt -CEO","","March 9, 2017 /  6:03 AM / 5 months ago","","ABU DHABI, March 9 (Reuters) - Union National Bank, 50 percent owned by the Abu Dhabi government, will open its first branch in China next month, its chief executive said, as Gulf banks expand in the world's second biggest economy. Union National has got approval from China's central bank to convert its representative office into a branch in Shanghai, Mohammed Nasr Abdeen told reporters late on Wednesday after the bank's annual general meeting, making it among the first Gulf banks to have a bank branch on the mainland. The formality will be completed in one month, he said. Union National, the fifth largest lender by assets in the emirate, may also consider expanding in China, subject to central bank regulations, Abdeen said. Union National opened its representative office in China in 2008, the first bank from the United Arab Emirates to do so. National Bank of Abu Dhabi and Emirates NBD  have also set up representative offices in China. The lender also plans to expand aggressively in Egypt by opening more branches this year, Abdeen said, without specifying how many. Egypt is a good market for us and the bank has gained confidence of the market, he said, adding it has 42 branches in the country. The bank has no plans to enter any new markets. It has one branch in Qatar and another in Kuwait. Abdeen said the bank was unlikely to be impacted this year by high cost of funding, like it faced last year. Union National's full-year 2016 profit attributable to equity holders fell 15.1 percent. The main factor for reduction of profit, in addition to provisions was the cost of funds. I don't expect that this year, because the high cost of the previous year will be shifted to the loans, he said. The AGM approved a 20 percent cash dividend (2016) for shareholders.   (Reporting By Stanley Carvalho, editing by Saeed Azhar and Biju Dwarakanath)"
"https://www.reuters.com/article/morocco-banks-idUSL8N1IP6CO","Morocco opens first Islamic bank branch months after approval","","May 23, 2017 /  6:15 PM / in 2 months","","RABAT, May 23 (Reuters) - The first Islamic bank in Morocco, Umnia Bank, has opened its doors five months after the country's central bank approved requests to open Islamic financial institutions. Islamic banks and insurers are setting up in Morocco after new legislation allowed them into the market, and the central bank has set up a central sharia board, a body of Islamic scholars, to oversee the sector. The North African country long rejected Islamic banking because of concern about Islamist movements, but its financial markets lack liquidity and foreign investors, and Islamic finance could attract both of those. Umnia Bank, a joint venture of Qatar International Islamic Bank (QIIB) and Moroccan lender Credit Immobilier et Hotelier S.A. (CIH Bank), opened a total of three agencies in the country on Monday, including two in Casablanca and one in Rabat. The bank plans to open more branches throughout the country, it said in a statement. On Tuesday afternoon, Umnia Bank's branch in Rabat attracted a significant amount of clients, including people simply curious about Islamic financing. I have an account with CIH Bank and I just came by here to learn more about what the difference is, said one client. Umnia Bank, attached next to a CIH Bank branch, is just a few blocks away from the forthcoming Dar Assafaa, Attijariwafa Bank's Islamic finance subsidiary. As a Muslim, I'm happy we finally have Islamic banks in the country, said Ritaj, a mother of three, who drove three hours from Tangiers to open an account. The branch was still ironing out technical problems. The director still had not received details for a prospective client about margins for a murabaha transaction -- one of the Islamic instruments that is compliant to sharia law. Morocco is the most advanced of North African neighbours in developing Islamic finance. Tunisia and Algeria are also starting to explore the banking based on religious principles which avoid interest and pure monetary speculation. Islamic finance has been growing over the past decade as it broadens its investor base across the Middle East, North Africa, Africa and southeast Asia, tapping into conservative religious clients. (Reporting by Samia Errazzouki; editing by Patrick Markey)"
"https://www.reuters.com/article/mufg-growth-idUSL5N1E81XW","Japan's Bank of Tokyo-Mitsubishi to open branch in Saudi Arabia","","December 13, 2016 /  10:21 AM / 7 months ago","","DUBAI, Dec 13 (Reuters) - Bank of Tokyo-Mitsubishi UFJ has received a licence to open a branch in Saudi Arabia, becoming the first Japanese bank to establish a presence in the kingdom. The bank, part of Mitsubishi UFJ Financial Group, has played a central role in the Saudi government's recent financing activity, in April helping to arrange a $10 billion loan, while Mitsubishi UFJ in October helped with its $17.5 billion international bond sale. The bank also signed an agreement in September with Saudi Aramco IPO-ARMO.SE to assist and collaborate in the company's future development. The oil giant is targeting 2018 for what is expected to be the world's biggest initial public offering. Saudi state news agency SPA said the cabinet licenced the bank to open a branch in the kingdom and authorised the Minister of Finance to decide on any subsequent request to open other branches. Saudi Arabia and Japan have strong trading ties, with Japan's oil and gas procurement from Saudi Aramco accounting for more than 30 percent of Japan's total imports for the sector, according to a release from the bank in September. Banking licences in the kingdom are granted relatively infrequently. Qatar National Bank was the last foreign bank to be permitted to open a branch in September 2015. Out of the 13 foreign banks listed on the central bank's website as being licenced to operate, five are Gulf lenders - two from Bahrain and one each from Kuwait, the UAE and Oman. Other international lenders include JP Morgan, Deutsche Bank and BNP Paribas. Other Asian banks with licences include Industrial and Commercial Bank of China, State Bank of India and National Bank of Pakistan. Reporting by Tom Arnold, editing by Louise Heavens"
