url,title,tag,time,short_text,long_text
"https://www.reuters.com/article/us-usa-congress-pharmaceuticals-idUSKBN1AC3E5","U.S. House panel spotlights use of FDA rules to slow generic drugs","","Jul 27 2017","Republican and Democratic lawmakers on Thursday discussed ways to prevent drugmakers from using rules developed to safeguard patients to instead block the sale of cheaper medicines.","WASHINGTON (Reuters) - Republican and Democratic lawmakers on Thursday discussed ways to prevent drugmakers from using rules developed to safeguard patients to instead block the sale of cheaper medicines. The focus at a hearing, held by members of the House Judiciary Committee's antitrust subcommittee, was on the use by some brand name drug companies of a Food and Drug Administration program, called Risk Evaluation and Mitigation Strategies or REMS, to protect their pharmaceuticals from generic competition. Under the FDA program, generic companies often must buy samples of a drug they want to copy from the brand name company that makes the drug, rather than a wholesaler. Drugmakers have been accused of refusing to make such sales, and the House and Senate are both considering legislation that would allow generic drug companies to sue to demand samples. The legislation under consideration would also provide for damages for generic companies denied access to brand name drugs. Lawmakers from both parties expressed discomfort with the practice of blocking cheaper drugs from getting to market. Representative John Conyers, the Judiciary Committee's top Democrat, asked how he could help to stop it.      High and rising drug prices have proved a pain point for many voters, particularly those without insurance or on tight budgets. Drug companies argue that they need the high prices to fund multibillion-dollar research to discover the next life-saving medicine. Republican Bob Goodlatte, the Judiciary Committee's chairman, noted voter concerns about the high price of some medicines. While it is imperative that the U.S. continue to remain the world leader and innovator in the pharmaceutical market, it is important that ... antitrust concerns be given significant deliberation, he said. Scott Gottlieb, an FDA commissioner, testified that drug companies sometimes game the government system. Markus Meier, acting head of competition for the Federal Trade Commission, said any delay in the rollout of generic drugs has clear consequences. When drug companies can succeed in delaying generic entry, American consumers will pay higher prices for prescription drugs, he said. Under the FDA's REMS program, 71 drugs are covered by varying levels of protection. In some of the most strict cases, the drugs can only be given to a patient on a registry or dispensed in a particular healthcare setting, like a clinic. Drugs with REMS include Indivior's Suboxone, Sanofi Genzyme's Lemtrada and Danco Laboratories' Mifeprex. Reporting by Diane Bartz; Editing by Tom Brown"
"https://www.reuters.com/article/us-amgen-cholesterol-idUSKBN1AC3C9","Amgen gets fast FDA review for adding heart benefits to cholesterol drug label","","Jul 27 2017","Amgen Inc said on Thursday the U.S. Food and Drug Administration granted priority review to the company's request to add important heart safety data to the label of its expensive injectable cholesterol drug Repatha.","(Reuters) - Amgen Inc said on Thursday the U.S. Food and Drug Administration granted priority review to the company's request to add important heart safety data to the label of its expensive injectable cholesterol drug Repatha. The FDA will decide by Dec. 2 whether to allow Amgen to include data from a major clinical trial that showed Repatha significantly cut the risk of heart attack, stroke and death in addition to dramatically lowering bad LDL cholesterol, the company said. Amgen, which cannot promote the heart safety data until it is officially included in the prescribing information, sees the label update as critical to unlocking the value of a medicine seen as having multibillion-dollar sales potential. We look forward to working with the FDA to update the label for Repatha, enabling us to more broadly educate physicians and patients of the proven impact of Repatha to reduce cardiovascular events, Amgen research and development chief Sean Harper said in a statement. Repatha has had improving but anemic sales since its approval nearly two years ago on the basis of its LDL-lowering prowess, with second-quarter sales of just $83 million. Insurers and pharmacy benefit managers have put up onerous roadblocks to patient access for the drug, with some 75 percent of prescriptions written being denied. Amgen has said after discounts and rebates Repatha's net price falls between $7,700 and $11,200 a year. Clinical evidence that the injectable biotech drug does more than just lower LDL was considered necessary for payers to open their pocket books and start authorizing wider use. In the study of more than 27,000 patients called Fourier that was released in March, Repatha cut the combined risk of heart attacks, strokes and heart-related death by 20 percent compared with a placebo in high-risk patients already on high doses of cholesterol-lowering statins, such as Pfizer Inc's Lipitor. In the second year of the study, the benefits were more pronounced, with a combined heart attack and stroke risk reduction of 33 percent. Repatha and Praluent, sold by Regeneron Pharmaceuticals Inc  and Sanofi, belong to a new class of medicines called PCSK9 inhibitors that block a protein that stops LDL from being removed from the blood. Reporting by Bill Berkrot in New York; Editing by Lisa Shumaker"
"https://www.reuters.com/article/us-health-trans-teens-idUSKBN1AC38U","Trans teens worse off on health measures than peers","","Jul 27 2017","(Reuters Health) - Teenagers who identify as transgender or gender nonconforming may be worse off on several health measures than their non-transgender classmates, suggests a new study from Minnesota.","(Reuters Health) - Teenagers who identify as transgender or gender nonconforming may be worse off on several health measures than their non-transgender classmates, suggests a new study from Minnesota. Compared to their classmates, transgender and gender nonconforming teens were more likely to engage in risky behavior and less likely to have traits that would protect them from poor health outcomes, researchers found. One of our most surprising findings was that the prevalence of a trans identity was almost identical in the metropolitan area and the non-metro parts of the state, showing that support for these teens is needed in all areas, said lead author Marla Eisenberg, of the University of Minnesota in Minneapolis. People who are transgender or gender nonconforming have a gender and sex that do not align at birth. People are called cisgender if their sex and gender do align at birth. As reported in the Journal of Adolescent Health, Eisenberg and colleagues analyzed data that had been collected regularly through a survey of high school students in Minnesota. In 2016, the survey started asking about gender identities. Overall, of the 81,885 students in grades 9 and 11 who responded to the survey in 2016, 2.7 percent identified as transgender or gender nonconforming.  Students were more likely to identify with that group if they were assigned female at birth, faced severe economic hardship or were American Indian, Pacific Islander or multiracial. About 61 percent of transgender and gender nonconforming students reported suicidal thoughts, compared to 20 percent their cisgender peers, researchers found. Similarly, 31 percent of transgender and gender nonconforming students reported attempting suicide, compared to about 7 percent of their classmates. Transgender and gender nonconforming students were also less likely to report traits that may protect against poor outcomes. Cisgender students reported higher levels of family connectedness than transgender and gender non-conforming students, for example. The study's findings regarding suicidal thoughts and attempts are similar to what's been found in other research, Eisenberg told Reuters Health by email. Other findings, however, did not show the substantial differences we have seen elsewhere, she added. For example, we did find significant disparities in substance use, but not as great as in prior studies with adults. The researchers conclude that people who work with and on behalf of youth should recognize the special needs of this population and work as their allies. They need and deserve support, respect, safety and love just like all other young people, said Eisenberg. SOURCE: bit.ly/2u34xVf Journal of Adolescent Health, online July 20, 2017."
"https://www.reuters.com/article/us-health-obesity-colorectal-cancer-idUSKBN1AC38I","Adult colorectal cancer risk tied to weight as a teen","","Jul 27 2017","(Reuters Health) - Being overweight or obese as a teenager may increase a person’s risk of developing colorectal cancer as an adult, suggests a large Israeli study.","(Reuters Health) - Being overweight or obese as a teenager may increase a person’s risk of developing colorectal cancer as an adult, suggests a large Israeli study. Long-term follow-up of 1.79 million Israeli men and women examined for military service as teenagers showed that overweight and obese teens were over 50 percent more likely to develop colon or rectal cancer by middle age, compared to normal-weight peers. “The findings from the study show evidence that being overweight and obese in adolescence are associated with an increased risk of subsequent colon cancer in both men and woman,” said Dr. Avni Desai, an oncologist at Memorial Sloan Kettering Cancer Center in New York who wasn’t involved in the study “Obesity was also noted to have an association with an increased risk of rectal cancer in men,” she told Reuters Health by email.  “Other smaller studies have shown a possible association with obesity and adolescence and future risk of colorectal cancer, but this is the largest study to show the association,” Desai said, adding that in past research the association has been stronger for men.  For the study, published in the journal Cancer, Dr. Zohar Levi, a researcher at Rabin Medical Center and Tel Aviv University and his team analyzed data from millions of Israeli adolescents who underwent compulsory examinations to determine their fitness for military service from 1967 to 2010.  The young men and women were between the ages of 16 and 19 at the time of the examinations, and Levi’s team used a national cancer registry to track who was diagnosed with colon or rectal cancer through December 2012.  The average follow-up was 23 years and the researchers identified almost 2,967 new cases of colorectal cancer in the study group. Among men, there were 1,403 cases of colon cancer and 574 cases of rectal cancer, and among women, 764 colon cancers and 226 rectal cancers. Being overweight or obese at the initial military examination was associated with 53 percent and 54 percent higher risks of colon cancer for men and women, respectively, compared to normal-weight peers. In men, obesity was associated with a 71 percent increased risk of rectal cancer, and in women, being obese more than doubled that risk.  Levi did not respond to a request for comments. This study does have some limitations, said Desai. “It is looking at a specific group, Israeli Jewish men and women, the studied group included predominantly men.  As such it is unclear if the results would be similar in the general U.S. population,” she said. Additionally, the researchers didn’t have information about adult body weights, so it is unclear whether obese or overweight teens stayed heavy or slim teens gained weight in adulthood. “The study could not assess whether risk of colorectal cancer was related to adult obesity independent of adolescent obesity,” Desai said. “Also, other risk factors that may affect risk of colorectal cancer such as family history, level of physical activity, diet, and smoking were not reported in the study. Family history is a risk factor for diagnosis of colorectal cancer, especially at a young age.”  Desai noted that although the participants were followed for at least 10 years, they were still fairly young at the end of the study. “The median age of colorectal cancer diagnosis in the study was 49.4 years, which is younger than the average age of diagnosis of colorectal cancer,” she said, adding that 90 percent of colorectal cancers are diagnosed after the age of 50.   The average age of diagnosis of colorectal cancer in the United States is age 72, she added. “Again, it is hard to pinpoint the exact causes of colorectal cancer in young patients, what we do know is a healthy lifestyle can reduce the risk of developing cancer.  This includes regular exercise, and a healthy diet, low in fat, high in fiber, with less red meats and processed meats,” she said. SOURCE: bit.ly/2tDgJgk Cancer, online July 24, 2017. "
"https://www.reuters.com/article/us-health-pertussis-severity-vaccine-idUSKBN1AC34Q","Vaccine lessens severity of whooping cough infections","","Jul 27 2017","(Reuters Health) - Even though vaccinations don’t always prevent whooping cough, people have milder symptoms of the respiratory illness and lower odds of serious complications with the vaccine than without it, a U.S. study suggests.","(Reuters Health) - Even though vaccinations don’t always prevent whooping cough, people have milder symptoms of the respiratory illness and lower odds of serious complications with the vaccine than without it, a U.S. study suggests.  More than three in four cases of whooping cough, or pertussis, occurred in people who were up to date on their vaccinations, the analysis of multistate disease surveillance data found.  Babies and young children had 60 percent lower odds of severe infections, however, when they had received all recommended childhood pertussis vaccinations. And, with up-to-date vaccinations, most infected children and adults had 30 percent lower odds of severe vomiting, a hallmark of more serious infections.  “These findings are very important because they show that even though pertussis vaccines do not prevent all cases of pertussis, breakthrough cases that occur in vaccinated people are less likely to be severe,” said lead study author Lucy McNamara, of the National Center for Immunization and Respiratory Diseases at the U.S. Centers for Disease Control and Prevention (CDC) in Atlanta.  “That means fewer hospitalizations and serious complications for patients,” McNamara said by email.  The bacterium Bordetella pertussis causes whooping cough, which gets its nickname from the sounds patients make as they gasp for air during intense coughing fits. Pertussis is highly contagious and easily spread when an infected individual coughs or sneezes. Many babies less than 1 year old who catch pertussis require hospitalization for serious complications like pneumonia or brain disorders. The CDC recommends that children get five doses of the DTaP vaccine for tetnanus, diphtheria and acellular pertussis at ages 2, 4 and 6 months, between ages 15 and 18 months, and between ages 4 and 6 years.  A single dose of a different version of the vaccine, called Tdap, is recommended for people 11 through 64 years old.  For the current study, researchers examined data on 9,801 pertussis cases from 2010 to 2012 in U.S. patients at least 3 months old. Cases came from statewide infection registries in Connecticut, Minnesota and New Mexico as well as from select counties in Colorado, New York and Oregon.  Almost four in five cases occurred in patients under 20 years old, and more than half of infections happened in children 12 or younger.  The study wasn’t a controlled experiment designed to prove that vaccination reduces the severity of the infections that shots don’t prevent.  One limitation of the study is that it’s possible people who get all recommended vaccinations on time also have other healthy behaviors that make them less likely to catch pertussis or to suffer from severe symptoms, the authors note.  Even so, the findings offer fresh evidence that the current version of the vaccine is working, said Dr. Peter Hotez, dean of the National School of Tropical Medicine at Baylor College of Medicine in Houston.  The CDC changed the vaccine in the 1990s from a version using whole cells known as DTP to the current version, known as DTap, which has fewer side effects such as fevers, Hotez, said by email.  Even though the total number of pertussis cases has crept up a little bit with DTaP, the findings suggest it’s doing a good job at protecting infants against severe cases, added Hotez, who wasn’t involved in the study.  “This is good news since it provides further evidence that the U.S. pertussis vaccine program can continue to work with DTaP,” Hotez said.  While much of the previous research has focused on childhood vaccination, the current study shows that adults, too, can benefit from the pertussis vaccine even if they still get whooping cough, said Dr. Kevin Schwartz, a public health researcher at the University of Toronto who wasn’t involved in the study “The biggest danger of adults getting pertussis is they can spread the infection to those who are at the highest risk of pertussis-related complications and death, including young children who haven’t received any or all of their vaccinations yet,” Schwartz said by email.  “Even though vaccine protection decreases over time, the best way to protect babies from severe pertussis is to make sure everyone is up-to-date with their recommended pertussis vaccines,” Schwartz added.  SOURCE: bit.ly/2v3nHyO Clinical Infectious Diseases, online July 8, 2017."
"https://www.reuters.com/article/us-health-sleep-infant-memory-idUSKBN1AC322","Sleep may even help memory in very young babies","","Jul 27 2017","(Reuters Health) - Three-month-old infants have better recall when they get a brief nap after learning something new, according to small experiment that suggests sleep may play a role in solidifying memories very early in life.","(Reuters Health) - Three-month-old infants have better recall when they get a brief nap after learning something new, according to small experiment that suggests sleep may play a role in solidifying memories very early in life.  While previous research has linked frequent naps to better memory in babies as young as 6 months, the current study examined the impact of a single 1.5- to 2-hour nap for infants half that age.  The experiment tested memory by counting on babies to quickly tire of looking at faces they remember. Researchers showed infants one of two cartoon characters with distinctive facial features, let some of the babies nap, then showed all of the babies both characters to see which one captured their attention longer.  More than half of the babies who napped turned their gaze to the unfamiliar cartoon face, indicating they remembered what they saw before they slept, the study found. But without a nap, babies appeared to randomly choose which face they looked at, suggesting they forgot what they had seen before and found both cartoons new and interesting.  “Three month-old babies could only remember the newly shown face if they had a nap right after seeing the new cartoon face,” said lead study author Dr. Klara Horvath, who conducted the study at the University of Oxford in the UK. “It seems for them having a short period of sleep is necessary to be able to consolidate memories, otherwise they just forget the newly learned information,” Horvath, now a pediatrics researcher at Semmelweis University in Budapest, said by email.  For the study, researchers also looked at something known as sleep spindles, or spikes of brain activity thought to be involved in consolidation of memories. Sleep spindles show up on electroencephalogram (EEG) tests that examine brain wave patterns.  Among babies who napped, infants who also had more sleep spindles appeared to become familiar with the faces more quickly, suggesting that the brief periods of rest might influence how fast the brain processes information, researchers report in Developmental Science. One limitation of the study is its small size - only 45 infants altogether. There were just 28 babies in the nap group, and only 15 had EEG data. Another drawback is that all the babies in the nap group saw the cartoon faces right before they went to sleep, making it impossible to rule out the potential for that learning experience to influence the number of sleep spindles, the researchers note.  The study also didn’t find a difference in memory based on the duration of babies’ naps, which suggests that more sleep may not always be best when it comes to learning, said Sabine Seehagen, a psychology researcher at the University of Waikato in New Zealand who wasn’t involved in the study.  “It is possible that some undetermined minimum duration of sleep was all that was needed for infants to ‘succeed’ in the task,” Seehagen said by email. “We also don’t know how effective the nap was compared to, say, a full night’s sleep and we don’t know if several naps might have added benefits.” Still, the findings offer fresh evidence that sleep is critical to normal development even at a very young age, said Gina Poe, a researcher in physiology and psychiatry at the University of California, Los Angeles, who wasn’t involved in the study.  “We neuroscientists and biopsychologists have a long way to go before we understand how long different types of memory consolidation tasks take and why,” Poe said. “But once the job is done, more sleep may be akin to the builders hammering more nails into a structure that is already securely connected.” That doesn’t mean that parents should cut short naps to help babies’ development, however.  “Even if the job that you are tracking is done with a short nap, there may be other brain tasks that the brain is attending to during a longer nap that we don’t know about,” Poe added. “So never wake a sleeping baby.” SOURCE: bit.ly/2eRfhnV Developmental Science, online July 18, 2017."
"https://www.reuters.com/article/us-opioids-probe-senator-idUSKBN1AC2ZH","U.S. Senator expands opioid probe to distributors, drugmakers","","Jul 27 2017","U.S. Democratic Senator Claire McCaskill on Thursday expanded an investigation into the causes of the opioid crisis plaguing the country, seeking information from four more drugmakers and three drug distributors.","(Reuters) - U.S. Democratic Senator Claire McCaskill on Thursday expanded an investigation into the causes of the opioid crisis plaguing the country, seeking information from four more drugmakers and three drug distributors. The top-ranking Democrat on the Senate Homeland Security and Governmental Affairs Committee is focusing on the distribution of opioids and the efforts companies made to report and investigate the diversion of drugs for illicit use. The investigation comes at a time when lawmakers and regulators take steps to combat the epidemic of opioid addiction, with 91 Americans dying everyday as a result of overdose, according to the U.S. Centers for Disease Control and Prevention.      McCaskill requested for documents and information from opioid manufacturers Mallinckrodt Plc, Endo International Plc, Teva Pharmaceutical and Allergan Plc. In March, McCaskill asked Johnson & Johnson, Mylan NV, Purdue Pharma, Insys Therapeutics Inc and Depomed Inc for internal estimates of the risk of abuse, addiction and overdose of opioids. The senator also sent a request to McKesson Corp, AmerisourceBergen Corp and Cardinal Health Inc, focusing on their distribution of opioid products.  McCaskill also requested for information on compensation provided that is in any way derived from revenue or profitability targets for sales of opioid products. We appreciate Senator McCaskill's inquiry and look forward to thoughtfully answering her questions, a McKesson spokeswoman said in an email, adding that there was no link between the sale of controlled substances and incentive compensation for the company's executives.      AmerisourceBergen said it would respond to the letter from the Senator, adding it provides daily reports to the regulators about the quantity, type and receiving pharmacy of every single order of controlled substances it distributes. Endo said it received the letter and would provide the Senator with the requested information. Allergan said it is working with the Senator's office to provide the requested information. The company also said its two branded opioid products – Norco and Kadian – account for 0.1 percent or less of all opioids prescribed in the United States. Israel-based Teva in an email said it is committed to the appropriate use of opioids and responsible pain management. Mallinckrodt confirmed receipt of Senator McCaskill's request for information, adding it has previously met with and provided information to her staff and would continue working with her office. The company noted it manufactures only generic and non-promoted branded opioids. Cardinal Health declined to comment. Reporting by Ankur Banerjee and Tamara Mathias in Bengaluru; Editing by Amrutha Gayathri and Maju Samuel"
"https://www.reuters.com/article/us-health-diabetes-erectile-dysfunction-idUSKBN1AC2XJ","More than half of men with diabetes have erectile dysfunction","","Jul 27 2017","(Reuters Health) - Diabetes has long been considered the number one risk factor for erectile dysfunction, and a new analysis of past research finds the sexual disorder is extremely common among men with diabetes, afflicting some 53 percent.","(Reuters Health) - Diabetes has long been considered the number one risk factor for erectile dysfunction, and a new analysis of past research finds the sexual disorder is extremely common among men with diabetes, afflicting some 53 percent. The study of data on nearly 90,000 men found those with diabetes are three and a half times more likely than men without the disease to have difficulty maintaining an erection, according to the report in Diabetic Medicine. Because erectile dysfunction can be a sign of the often silent cardiovascular issues that go along with diabetes, doctors should take the sexual complaint as a cue to screen for both diabetes and heart disease, the study team writes.  “Erectile dysfunction, due to its evident presentation, can play a crucial role in early diabetes mellitus diagnosis and acts as an alarm bell for other silent complications,” said study coauthor Dr. Damiano Pizzol, coordinator of the Operational Research Unit of Doctors with Africa Cuamm in Beira, Mozambique.  Since 1980, the number of people with diabetes worldwide has soared from 108 million to 422 million, the study team writes, and the prevalence among adults has increased from 4.7 percent to 8.5 percent.  Although erectile dysfunction is most common in men over age 40, it can occur at any age alongside diabetes and heart disease, they note. “Too often, the lack of prevention, an unhealthy diet and lack of physical exercise leads to a late diagnosis of diabetes,” Pizzol told Reuters Health by email. Many times, he added, complications like erectile dysfunction lead to the initial diabetes diagnosis.  The researchers analyzed 145 studies that included 88,577 men to understand how common erectile dysfunction is with diabetes. Most of the studies were conducted in Asia and Europe, and half focused only on men with type 2 diabetes, the more common form of the disease that’s associated with age and obesity.  The research team found that overall, 37.5 percent of men with type 1 diabetes and 66.3 percent of those with type 2 diabetes had erectile dysfunction. Rates varied significantly across countries and were highest in South America and lowest in North America.  Erectile dysfunction also developed about 10 to 15 years earlier in men with diabetes compared to men without the disease. “Raising awareness of erectile dysfunction and other related men’s health issues would encourage a much-needed discussion, which is often overlooked or even avoided by patients and health care professionals,” said Dr. Laith Alzweri, a urology fellow at Tulane University School of Medicine in New Orleans who wasn’t involved in the study.  “Erectile function could be viewed as an indirect parameter of a man’s general well-being, both mental and physical,” Alzweri told Reuters Health by email.  In addition to screening for diabetes when men complain of erectile dysfunction as the study authors recommend, screening for erectile dysfunction by health care professionals should be part of the routine assessment of diabetic men, he said. A major limitation of the analysis is that only a quarter of the studies included information about complications associated with diabetes. Also, studies included in the analysis could vary in the diagnosis of erectile dysfunction, the type of diabetes, diagnosis of complications, diabetes health care offerings and insurance coverage, especially across countries, said Dr. Zdravko Kamenov of Alexandrovska University Hospital in Sofia, Bulgaria, who wasn’t involved in the study. “The large regional variations are intriguing,” he told Reuters Health by email. “Cultural, psychological and other factors could affect the reported rates of erectile dysfunction.” Diabetes is estimated to reach 322 million cases worldwide by 2025, and erectile dysfunction is cited as the third most frequent complication of diabetes, he noted. Future studies should focus on other long-term diabetes risk factors associated with erectile dysfunction, such as smoking and length of diagnosis. The exact hormonal, physical and psychological connections between diabetes and erectile dysfunction could also point researchers toward new treatment options, Kamenov said. “Erectile function is a window to men’s health,” he added. “In most cases, one question is enough to open the window.” SOURCE: bit.ly/2h6uZfu Diabetic Medicine, online July 18, 2017."
"https://www.reuters.com/article/us-health-slugs-glue-idUSKBN1AC2VX","Slug slime inspires new kind of surgical glue","","Jul 27 2017","Scientists have developed an experimental surgical glue inspired by the mucus secreted by slugs that could offer an alternative to sutures and staples for closing wounds.","LONDON (Reuters) - Scientists have developed an experimental surgical glue inspired by the mucus secreted by slugs that could offer an alternative to sutures and staples for closing wounds. While some medical glues already exist, they often adhere weakly, are not particularly flexible and frequently cannot be used in very wet conditions. To get around those problems, a group of scientists from Harvard and other research centers decided to learn from slugs, which - as well as making slime to glide on - can produce extremely adhesive mucus as a defense mechanism.  The slugs' trick is to generate a substance that not only forms strong bonds on wet surfaces but also has a matrix that dissipates energy at the point of adhesion, making it highly flexible. The man-made version of this tough adhesive is based on the same principles and in a series of experiments reported in the journal Science on Thursday it was shown to adhere strongly to pig skin, cartilage, tissue and organs. It also proved non-toxic to human cells. In one test the new glue was used to close a wound in a blood-covered pig's heart and successfully maintained a leak-free seal after the heart was inflated and deflated tens of thousands of times. FILE PHOTO: A slug hangs from the finger of a gardener in a park in London, Britain April 29, 2016.Peter Nicholls/File PhotoIn another case it was applied to a laceration in a rat's liver and performed just as well as a haemostat, a surgical tool often used in operations to control bleeding. There are a variety of potential uses and in some settings this could replace sutures and staples, which can cause damage and be difficult to place in certain situations, said researcher David Mooney, professor of bioengineering at Harvard.  Mooney and colleagues envisage the new adhesive will be made in sheets and cut to size, although they have also developed an injected version for closing deep wounds. The injection would be hardened using ultraviolet light, like dental fillings. It is not the first time that scientists have taken inspiration from nature to devise a better medical adhesive. Four years ago, another research group developed a glue inspired by the underwater sticking properties of mussels, but Mooney thinks slugs win hands-down in terms of stickiness and flexibility. The scientists are applying for patents, although it will require a commercial company to then license the technology and take it into the next phase of human clinical trials. Editing by Gareth Jones"
"https://www.reuters.com/article/us-mediware-ceo-idUSKBN1AC2S9","Mediware hires ex-Optum executive Miller as CEO","","Jul 27 2017","Mediware Information Systems Inc [MEDWI.UL], a healthcare technology company owned by private equity firm TPG Capital LP, has hired Bill Miller to lead the company as it looks to build out its presence in post-acute care and human services, the company said on Thursday.","(Reuters) - Mediware Information Systems Inc [MEDWI.UL], a healthcare technology company owned by private equity firm TPG Capital LP, has hired Bill Miller to lead the company as it looks to build out its presence in post-acute care and human services, the company said on Thursday.  Miller was previously the chief executive officer of OptumInsight, a subsidiary of UnitedHealth Group Inc, the world's largest healthcare services company.  He will replace Kelly Mann, who has been CEO of Mediware since 2007.  “I am excited about their strong position in the expanding markets they serve, and look forward to working with TPG and the Mediware team to build on the momentum that the company has achieved to-date,” Miller said in a statement.  TPG Capital completed its acquisition of Mediware from buyout firm Thoma Bravo LLC earlier this year for an undisclosed sum.  Mediware sells software programs that help with administration and costs savings to healthcare providers including blood banks, behavioral health providers, home healthcare providers and more. It is poised to grow significantly in the coming years, as healthcare providers aim to cut costs through the use of new technologies and increasingly rely on outpatient care centers rather than traditional hospitals.  As chief executive of Mediware, Miller told Reuters he plans on pursuing a balanced growth strategy across its various areas of focus, ranging from human services to home health and more.  He added that he Mediware will rely on a blend of organic growth and acquisitions.  Earlier this year, Mediware acquired Kinnser Software, which provides software for home health and hospice providers.  Thoma Bravo took Mediware private in 2012 for $195 million and built it out with acquisitions including Bowman Systems, which focuses on homeless management. TPG has previously invested in other healthcare technology companies including Evolent Health and IMS Health. Reporting by Carl O'Donnell; Editing by David Gregorio"
