keyword,c
contract,1
source,1
july,1
demand,1
corp,1
yahoo,1
mining,1
500,1
statement,1
next,1
made,1
twitter,1
order,1
increased,1
cutting,1
ceo,1
20,1
spokesman,1
republican,1
half,1
like,1
board,1
loss,1
export,1
official,1
employer,1
top,1
trump,1
equity,1
sharp,1
december,1
30,1
country,1
canadian,1
soundcloud,1
2016,1
reported,1
friday,1
copper,1
payroll,1
per,1
defense,1
canada,1
consumer,1
investment,1
fourth,1
vehicle,1
fiscal,1
long,1
co,1
well,1
declined,1
forecast,1
economic,1
result,1
measure,1
energy,1
15,1
operation,2
economist,2
global,2
stock,2
level,2
benefit,2
boeing,2
major,2
challenger,2
indonesia,2
planned,2
come,2
production,2
tax,2
trading,3
euro,3
earlier,3
group,3
monday,3
capital,3
financial,3
public,3
many,3
china,3
rose,3
9,3
comment,3
spending,3
three,3
low,3
pay,3
strike,3
including,3
gm,3
third,4
president,4
fell,4
high,4
june,4
work,4
claim,4
wednesday,4
part,4
fund,4
january,4
largest,4
around,5
oil,5
make,5
march,5
increase,5
workforce,5
0,5
american,5
unemployment,5
budget,5
deal,5
service,5
employment,5
staff,6
freeport,6
second,6
plant,6
economy,6
department,6
city,6
told,6
8,6
number,7
end,7
expected,7
still,7
7,8
industry,8
revenue,8
thursday,8
sector,8
analyst,8
inc,8
firm,8
say,8
time,9
6,9
executive,9
may,9
10,9
rate,9
chief,9
report,9
data,9
people,9
day,9
one,9
share,9
layoff,10
government,10
first,10
could,10
union,10
according,10
would,10
percent,10
last,10
1,10
also,10
cost,10
york,10
5,10
reuters,10
job,10
million,10
worker,10
3,10
announced,10
reporting,10
market,10
cut,10
2,10
month,10
company,10
since,10
state,10
price,10
plan,10
4,10
bank,10
growth,10
said,10
labor,10
year,10
sale,10
u,10
000,10
employee,10
billion,10
new,10
business,10
week,10
editing,10
two,10
quarter,10
