keyword,c
food,1
coverage,1
sell,1
offer,1
growth,1
unit,1
monday,1
private,1
number,1
second,1
tuesday,1
text,1
board,1
eikon,1
euro,1
thursday,1
stake,1
revenue,1
merger,1
end,1
management,1
china,1
make,1
buy,1
based,1
report,1
plant,1
investor,1
announced,1
york,1
wednesday,1
agreement,1
equity,1
service,1
stock,1
brief,1
energy,1
2017,1
three,1
sector,1
largest,1
per,1
billion,2
job,2
000,2
corp,2
industry,2
plan,2
1,2
sale,2
7,2
5,2
since,2
million,2
also,2
percent,2
u,2
chief,2
could,2
3,2
first,2
new,2
co,2
two,2
inc,2
acquire,2
0,2
rate,2
year,2
cost,2
say,2
share,2
month,2
people,2
expected,2
financial,2
worker,2
acquisition,2
week,2
capital,2
june,2
10,2
bank,2
day,2
editing,2
july,2
fund,2
quarter,2
layoff,2
executive,2
one,2
reuters,2
price,2
may,2
business,2
asset,2
last,2
oil,2
state,2
told,2
according,2
cut,2
deal,2
investment,2
government,2
firm,2
time,2
8,2
employee,2
6,2
4,2
2,2
source,2
company,2
labor,2
union,2
would,2
group,2
market,2
said,2
reporting,2
